congress,icpsr,state_icpsr,state_abbrev,senclass,party_code,bioname,ideoscore
117,42102,41,AL,2,200,"TUBERVILLE, Tommy",0.81
117,94659,41,AL,3,200,"SHELBY, Richard",0.58
117,40300,81,AK,3,200,"MURKOWSKI, Lisa",0.47
117,41500,81,AK,2,200,"SULLIVAN, Daniel",0.65
117,21300,61,AZ,1,100,"SINEMA, Kyrsten",0.50
117,41905,61,AZ,3,100,"KELLY, Mark",0.40
117,20101,42,AR,3,200,"BOOZMAN, John",0.77
117,21301,42,AR,2,200,"COTTON, Tom",0.88
117,42104,71,CA,3,100,"PADILLA, Alex",0.02
117,49300,71,CA,1,100,"FEINSTEIN, Dianne",0.15
117,40910,62,CO,3,100,"BENNET, Michael",0.25
117,42101,62,CO,2,100,"HICKENLOOPER, John",0.34
117,20707,1,CT,1,100,"MURPHY, Chris",0.15
117,41101,1,CT,3,100,"BLUMENTHAL, Richard",0.03
117,15015,11,DE,1,100,"CARPER, Tom",0.31
117,40916,11,DE,2,100,"COONS, Chris",0.34
117,41102,43,FL,3,200,"RUBIO, Marco",0.83
117,41903,43,FL,1,200,"SCOTT, Rick",1.00
117,42103,44,GA,2,100,"OSSOFF, Jon",0.30
117,42105,44,GA,3,100,"WARNOCK, Raphael",0.46
117,20713,82,HI,1,100,"HIRONO, Mazie",0.07
117,41112,82,HI,3,100,"SCHATZ, Brian",0.21
117,29345,63,ID,3,200,"CRAPO, Michael",0.82
117,40902,63,ID,2,200,"RISCH, James",0.83
117,15021,21,IL,2,100,"DURBIN, Dick",0.09
117,21325,21,IL,3,100,"DUCKWORTH, Tammy",0.09
117,21133,22,IN,3,200,"YOUNG, Todd",0.68
117,41900,22,IN,1,200,"BRAUN, Mike",0.98
117,14226,31,IA,3,200,"GRASSLEY, Chuck",0.67
117,41502,31,IA,2,200,"ERNST, Joni",0.83
117,21734,32,KS,2,200,"MARSHALL, Roger",0.88
117,29722,32,KS,3,200,"MORAN, Jerry",0.72
117,14921,51,KY,2,200,"McCONNELL, Mitch",0.60
117,41104,51,KY,3,200,"PAUL, Rand",0.68
117,20919,45,LA,2,200,"CASSIDY, Bill",0.68
117,41703,45,LA,3,200,"KENNEDY, John",0.79
117,41300,2,ME,1,328,"KING, Angus",0.35
117,49703,2,ME,2,200,"COLLINS, Susan",0.45
117,15408,52,MD,1,100,"CARDIN, Ben",0.20
117,20330,52,MD,3,100,"VAN HOLLEN, Christopher",0.12
117,14435,3,MA,2,100,"MARKEY, Ed",0.01
117,41301,3,MA,1,100,"WARREN, Elizabeth",0.06
117,20923,23,MI,2,100,"PETERS, Gary",0.36
117,29732,23,MI,1,100,"STABENOW, Deb",0.22
117,40700,33,MN,1,100,"KLOBUCHAR, Amy",0.13
117,41706,33,MN,2,100,"SMITH, Tina",0.08
117,29534,46,MS,1,200,"WICKER, Roger",0.76
117,41707,46,MS,2,200,"HYDE-SMITH, Cindy",0.87
117,29735,34,MO,3,200,"BLUNT, Roy",0.58
117,41901,34,MO,1,200,"HAWLEY, Josh",0.86
117,21338,64,MT,2,200,"DAINES, Steve",0.86
117,40702,64,MT,1,100,"TESTER, Jon",0.38
117,41302,35,NE,1,200,"FISCHER, Deb",0.69
117,41503,35,NE,2,200,"SASSE, Ben",0.68
117,21743,65,NV,1,100,"ROSEN, Jacklyn",0.31
117,41700,65,NV,3,100,"CORTEZ MASTO, Catherine",0.24
117,40906,4,NH,2,100,"SHAHEEN, Jeanne",0.29
117,41702,4,NH,3,100,"HASSAN, Maggie",0.44
117,29373,12,NJ,1,100,"MENENDEZ, Robert",0.19
117,41308,12,NJ,2,100,"BOOKER, Cory",0.05
117,20930,66,NM,1,100,"HEINRICH, Martin",0.20
117,20932,66,NM,2,100,"LUJÁN, Ben Ray",0.17
117,14858,13,NY,3,100,"SCHUMER, Chuck",0.24
117,20735,13,NY,1,100,"GILLIBRAND, Kirsten",0.12
117,29548,47,NC,3,200,"BURR, Richard",0.61
117,41504,47,NC,2,200,"TILLIS, Thom",0.82
117,21350,36,ND,1,200,"CRAMER, Kevin",0.91
117,41107,36,ND,3,200,"HOEVEN, John",0.82
117,29386,24,OH,3,200,"PORTMAN, Rob",0.55
117,29389,24,OH,1,100,"BROWN, Sherrod",0.09
117,15424,53,OK,3,200,"INHOFE, James",0.88
117,21166,53,OK,2,200,"LANKFORD, James",0.90
117,14871,72,OR,3,100,"WYDEN, Ronald Lee",0.06
117,40908,72,OR,2,100,"MERKLEY, Jeff",0.04
117,29935,14,PA,3,200,"TOOMEY, Patrick",0.61
117,40703,14,PA,1,100,"CASEY, Bob",0.17
117,29142,5,RI,2,100,"REED, Jack",0.15
117,40704,5,RI,1,100,"WHITEHOUSE, Sheldon",0.12
117,21173,48,SC,3,200,"SCOTT, Tim",0.78
117,29566,48,SC,2,200,"GRAHAM, Lindsey O.",0.62
117,29754,37,SD,3,200,"THUNE, John",0.80
117,41505,37,SD,2,200,"ROUNDS, Mike",0.78
117,20351,54,TN,1,200,"BLACKBURN, Marsha",0.93
117,42100,54,TN,2,200,"HAGERTY, Bill",0.86
117,40305,49,TX,2,200,"CORNYN, John",0.77
117,41304,49,TX,1,200,"CRUZ, Ted",0.94
117,41110,67,UT,3,200,"LEE, Mike",0.75
117,41902,67,UT,1,200,"ROMNEY, Mitt",0.60
117,14307,6,VT,3,100,"LEAHY, Patrick",0.14
117,29147,6,VT,1,328,"SANDERS, Bernie",0.00
117,40909,40,VA,2,100,"WARNER, Mark",0.33
117,41305,40,VA,1,100,"KAINE, Tim",0.20
117,39310,73,WA,1,100,"CANTWELL, Maria",0.22
117,49308,73,WA,3,100,"MURRAY, Patty",0.14
117,20146,56,WV,2,200,"CAPITO, Shelley",0.61
117,40915,56,WV,1,100,"MANCHIN, Joe",0.45
117,29940,25,WI,1,100,"BALDWIN, Tammy",0.18
117,41111,25,WI,3,200,"JOHNSON, Ron",0.74
117,20953,68,WY,1,200,"LUMMIS, Cynthia",0.89
117,40707,68,WY,2,200,"BARRASSO, John",0.82
